"model","S","N","lambda","alpha","iter","N_mean","N_sd","N_2.5","N_50","N_97.5","N_Rhat","N_n.eff","a_mean","a_sd","a_2.5","a_50","a_97.5","a_Rhat","a_n.eff","nbErrTot_mean","nbErrTot_sd","nbErrTot_2.5","nbErrTot_50","nbErrTot_97.5","nbErrTot_Rhat","nbErrTot_n.eff"
"LMM2",5,500,0.51,0.8,9,492.48115,30.1459298004171,438,490,556,1,562,0.804855037941916,0.0195791322583356,0.767010819999599,0.804602896394306,0.843903827015301,1,903,236.9607,19.1828479270605,198,238,273,1.01,607
"LMM2",5,500,0.51,0.8,10,488.17115,30.0971236087433,434,486,550,1,530,0.77764642674853,0.019421040973021,0.740655992382404,0.777457472418746,0.81636776667362,1,957,275.03825,19.133117643161,236,276,310,1,566
"LMM2",5,500,0.51,0.9,1,481.6122,22.3984194893252,441,480,529,1,1239,0.879193695289735,0.0153334825620458,0.849251591776028,0.879181491447635,0.909335308009551,1,1762,153.33425,15.6565827486929,121,154,182,1,1117
"LMM2",5,500,0.51,0.9,2,526.96505,25.7045592204133,480,525,582,1,1290,0.914181382297418,0.0156496130224814,0.883956799932292,0.913971401162583,0.94562314739993,1,1601,109.61365,17.4847324678124,73,111,141,1.01,1201
"LMM2",5,500,0.51,0.9,3,533.3935,28.5037836266355,483,532,593,1,996,0.906730319727951,0.0172015561936236,0.873098623289699,0.906620013252407,0.940694386988695,1,1243,113.71295,18.6680094553852,75,115,148,1,957
"LMM2",5,500,0.51,0.9,4,503.22145,24.0375622748544,460,502,554,1,1255,0.909440866272518,0.0153924285426385,0.87964670077593,0.909253570332936,0.940405109206891,1,1627,113.8494,16.595794366632,79,115,144,1,1261
"LMM2",5,500,0.51,0.9,5,476.4794,21.499246184909,437,475,521,1,1187,0.884173199640876,0.0148109417198391,0.854876119046335,0.884147958146545,0.913260282306676,1,1765,148.23675,15.2174596431664,117,149,176,1,1132
"LMM2",5,500,0.51,0.9,6,522.63635,25.9682888592763,476,521,577,1.01,1171,0.9061584694585,0.0161372182848489,0.875110237598316,0.905953548133538,0.93828240335977,1,1429,118.2719,17.5681189183736,81,119,150,1,1189
"LMM2",5,500,0.51,0.9,7,486.89635,20.7335091240612,449,486,531,1,1601,0.905725321770995,0.0138436791975786,0.878233335040989,0.905791708950588,0.932708268045527,1,2050,122.7097,14.768697695856,92,123,150,1,1467
"LMM2",5,500,0.51,0.9,8,479.85265,21.3691406000803,441,478,525,1,1304,0.888278175835132,0.0145477432108817,0.860041913472919,0.888183019325086,0.916919182911019,1,1932,143.86415,15.0284692341528,112.975,145,171,1,1222
"LMM2",5,500,0.51,0.9,9,486.1464,24.336433184405,442,485,537,1,1114,0.897338297942759,0.0161471013881751,0.86623037378382,0.897147838834812,0.929632558540061,1,1443,124.17805,16.6841591414075,89,125,155,1,1038
"LMM2",5,500,0.51,0.9,10,489.9413,24.7856868136338,446,488,543,1,1102,0.880861354681286,0.0163404643013143,0.849565170533351,0.880719286361941,0.913536158713914,1,1436,146.89625,16.879873590881,111,148,177,1,1103
"LMM2",5,500,0.51,0.95,1,473.10185,19.0044004098853,438,472,513,1,2023,0.935916523276462,0.0127670436228835,0.910699336233528,0.93594107078982,0.96087211505816,1,2620,80.9175,13.795253140137,53,82,107,1,1831
"LMM2",5,500,0.51,0.95,2,514.64655,22.3150850603031,473,514,560.024999999998,1,1772,0.953674579838161,0.0134524036833348,0.927371166247426,0.953632665026245,0.980359985714147,1,1834,58.74805,15.673023109157,26,59,88,1,1615
"LMM2",5,500,0.51,0.95,3,518.3574,24.9864899790682,473,517,571,1,1388,0.947464946162356,0.0153595498104548,0.917504149218641,0.94741823391139,0.977601710901441,1,1511,63.55775,17.0698369618516,28,64,95,1,1213
"LMM2",5,500,0.51,0.95,4,505.8216,21.4418460277574,466,505,551,1,1877,0.960694896830294,0.013138042289025,0.934562436537322,0.960776049269703,0.986006042307534,1,1981,48.8649,15.1727307554681,18,49,77,1,1662
